"","Roubo e Furto","Colisão Parcial","Colisão Perda Total","Incêndio","Assistência 24H","Compreensivo"
"003274-3",828.4,4.82,357.86,0,233.93,1425.01
"003275-1",74.47,109.6,370.21,76.53,277.87,908.68
"003276-0",394.26,197.55,589.05,0,233.1,1413.96
"003277-8",0,30.41,0,0,99.42,129.83
"003278-6",0,0,0,0,93.49,93.49
"003279-4",0,0,0,0,13.64,13.64
"003280-8",310.77,425.29,846.73,0,108.64,1691.43
"003281-6",952.29,1947.95,2227.66,64.81,1480.98,6673.69
"003282-4",1038.44,1170.26,1279.18,62.07,1212.79,4762.74
"003283-2",653.65,1388.53,1181.35,6.03,885.63,4115.19
"003284-0",350.13,554.74,860.03,30.99,543.51,2339.4
"003285-9",307.54,231.49,306.92,57.07,215.05,1118.07
"003286-7",2676.53,2131.72,2338.05,87.62,2005.19,9239.11
"003287-5",180.11,157,242.98,0,330.77,910.86
"003288-3",233.38,19.95,376.32,45.33,355.48,1030.46
"003289-1",2078.69,2014.42,2348.2,114.95,1639.91,8196.17
"003290-5",0,0,0,0,63.55,63.55
"003291-3",206.78,142.73,1276.65,0,100.39,1726.55
"003292-1",434.97,94.34,586.82,0,450.82,1566.95
"003293-0",1040.6,155.64,578.53,0,333.94,2108.71
"003294-8",423.92,159.07,901.66,113.11,282.93,1880.69
"003295-6",844.06,607.14,1693.21,169.65,493.69,3807.75
"003296-4",993.13,503.6,978.42,79.72,641.18,3196.05
"003297-2",1012.64,414.14,1185.97,86.96,344.92,3044.63
"003298-0",463.31,0,582.84,0,83.72,1129.87
"003299-9",516.62,517.45,0,0,30.56,1064.63
"003300-6",1340.06,412.72,1131.27,87.52,478.69,3450.26
"003301-4",0,69.28,145.33,0,323.25,537.86
"003302-2",0,0,982.62,0,137.67,1120.29
"003303-0",407.5,224.17,346.05,0,311.39,1289.11
"003304-9",1021.81,684.83,1504.43,25.13,464.68,3700.88
"003305-7",0,486,674.49,0,202.53,1363.02
"003306-5",0,0,0,0,29.95,29.95
"003307-3",742.48,1196.21,1702.07,232.82,152.68,4026.26
"003308-1",0,13.05,2382.51,0,49.83,2445.39
"003309-0",1521.63,952.12,1899.32,2.19,119.78,4495.04
"003310-3",2449.65,2139.7,2674.76,159.57,2447.15,9870.83
"003311-1",406.23,502.67,690.17,71.06,643.3,2313.43
"003312-0",0,195.68,271.81,0,174.77,642.26
"003313-8",0,0,0,0,72.9,72.9
"003314-6",0,461.39,0,0,51.02,512.41
"003315-4",0,0,0,0,22.1,22.1
"003316-2",0,0,0,0,0,0
"003317-0",0,365.81,0,0,61.33,427.14
"003318-9",2557.51,1363.77,1287.41,115.59,1162.48,6486.76
"003319-7",603.09,368.13,415.85,0,263.23,1650.3
"003320-0",941.49,776.95,1032.74,4.21,867.89,3623.28
"003321-9",718.88,381.94,874.43,0,399.23,2374.48
"003322-7",319.38,231.26,253.61,58.4,354.17,1216.82
"003323-5",268.96,198.1,362.43,29.55,317.99,1177.03
"003324-3",209.05,246.03,528.9,0,255.31,1239.29
"003325-1",1982.13,3060.15,3387.86,86.72,2971.86,11488.72
"003326-0",68.41,328.97,299.66,4.21,365.42,1066.67
"003327-8",303.89,394.11,321.75,0,261.65,1281.4
"003328-6",162.41,177.97,0,0,76.65,417.03
"003329-4",971.27,498.57,720.48,0,190.55,2380.87
"003330-8",172.45,431.95,383.83,5.96,220.19,1214.38
"003331-6",395.56,208.99,394.65,199.48,368.48,1567.16
"003332-4",1474.96,314.29,695.92,125.05,502.71,3112.93
"003333-2",624.58,320.77,482.39,292.22,212.72,1932.68
"003334-0",0,0,0,0,74.93,74.93
"003335-9",1659.88,1342.09,2245.75,71.78,993.6,6313.1
"003336-7",896.49,457.42,1662.6,0,459.69,3476.2
"003337-5",216.06,77.96,353.21,0,427.59,1074.82
"003338-3",40724.13,0,0,0,0,40724.13
"003339-1",606.43,91.94,1163.67,539.48,837.36,3238.88
"003340-5",608.75,1285.97,1697.03,76.91,728.54,4397.2
"003341-3",0,0,0,0,0,0
"003342-1",0,0,0,0,0,0
"003343-0",7586.8,0,0,0,28.08,7614.88
"003344-8",559,1578.01,1805.95,0.44,519.44,4462.84
"003345-6",1275.46,232.6,1265.36,0,49.49,2822.91
"003346-4",543.95,988.49,995.94,0,381.3,2909.68
"003347-2",1509.83,2086.08,2028.28,5.91,1080.72,6710.82
"003348-0",649.29,1490.77,1342.23,0,730.04,4212.33
"003349-9",454.15,270.03,467.13,0,328.73,1520.04
"003350-2",401.25,294.65,287.96,0,322.46,1306.32
"003351-0",697.41,1496.9,1379.17,29.82,998.71,4602.01
"003352-9",358.75,375.28,801.28,0,368.47,1903.78
"003353-7",650.89,675.47,577.65,0,309.61,2213.62
"003354-5",0,99.61,0,0,415.49,515.1
"003355-3",0,0,0,0,65.79,65.79
"003356-1",353.71,538.42,399.34,0,104.87,1396.34
"003357-0",1008.76,825.94,1208.64,95.6,323.74,3462.68
"003358-8",2356.45,1332.52,895.1,0,524.96,5109.03
"003359-6",1280,759.08,574.1,0,285.37,2898.55
"003360-0",923.49,729.28,1997.8,464.92,125.78,4241.27
"003361-8",1232.42,1116.14,1514.16,0,292.96,4155.68
"003362-6",2302.24,2131.74,2360.09,0,355.59,7149.66
"003363-4",1802.52,2238.94,2104.01,181.14,740.49,7067.1
"003364-2",3128.98,3498.21,4237.81,306.48,876.21,12047.69
"003365-0",632.56,546.5,464.88,0,259.07,1903.01
"003366-9",1294.93,1258.18,1047.18,7.22,744.02,4351.53
"003367-7",2996.04,3662.7,1736.64,103.24,1698.79,10197.41
"003368-5",822.61,675.3,631.63,46.11,324.77,2500.42
"003369-3",188.4,474.71,283.39,0,290.55,1237.05
"003370-7",922.47,729.12,497.6,0,749.15,2898.34
"003371-5",266.65,311.43,707.3,290.75,219.93,1796.06
"003372-3",988.02,562.48,1113.84,406.51,329.36,3400.21
"003373-1",1049.55,1021.49,768.97,34.48,561.31,3435.8
"003374-0",1418.97,1693.58,1067.66,49.33,944.67,5174.21
"003375-8",1031.44,611.82,855.44,0,165.99,2664.69
"003376-6",1131.87,1766.63,2111.66,4.84,800.68,5815.68
"003377-4",929.13,1432.92,1324.43,34.17,545.73,4266.38
"003378-2",628.53,1195.91,795.88,81.48,541.3,3243.1
"003379-0",0,765.28,2774.73,0,131.5,3671.51
"003380-4",1944.8,1339.65,1898.58,60.37,1143.52,6386.92
"003381-2",3384.78,2937.82,2845.53,9,2805.04,11982.17
"003382-0",2584.63,2105.61,2404.85,40.2,1396.26,8531.55
